CODIGO;DENOMINACION;GRUPO_CODIGO;GRUPO_NOMBRE;SECCION_CODIGO;SECCION_NOMBRE;SUBSECCION_CODIGO;SUBSECCION_NOMBRE;SITUACION
92132;Obtención de imágenes computarizadas diagnósticas de ojo, segmento anterior, con interpretación y reporte, unilateral o bilateral TOMOGRAFÍA DEL SEGMENTO ANTERIOR (incluye imágenes de múltiples tramas) con interpretación y reporte;1;Servicios médicos y estomatológicos;1.6;Sección Medicina;1.6.9;Subsección OftalmologÍa;ACTIVO
86021.01;Identificación de anti musculo liso;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.3;Subsección Inmunología;ACTIVO
86146.01;Determinación de Anticuerpos a la Beta 2, glicoproteína I IgM;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.3;Subsección Inmunología;ACTIVO
87163.01;Cultivo de líquidos corporales (LCR, pleural, ascítico, pericardio, amniótico, otros) con MIC;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.4;Subsección Microbiología;ACTIVO
87210.01;Tinta china en líquidos biológicos;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.4;Subsección Microbiología;ACTIVO
87910.01;"Análisis de genotipo de agente infeccioso a partir de ácido nucleico (DNA); citomegalovirus asociado a resistencia a antivirales";1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.4;Subsección Microbiología;ACTIVO
83516.01;Antitransglutaminasa IgM;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.1;Subsección Bioquímica;ACTIVO
85999.03;Estudio de Hemostasia por Tromboelastografía;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.2;Subsección Hematología y Coagulación;ACTIVO
86376.01;Anti lkm-1;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.3;Subsección Inmunología;ACTIVO
88182.01;Citometría-índice ADN;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.6;Subsección Citopatología;ACTIVO
88185.01;Citometría de flujo para detección de HPN;1;Servicios médicos y estomatológicos;1.5;Sección Patología y Laboratorio;1.5.6;Subsección Citopatología;ACTIVO
