CO_CODUPS;DE_NOMBREUPS;TABLA_D1_SETI IPRESS;TABLA_G_SETIIPRESS;TABLA_I_SETIIPRESS
030000;ANATOMO PATOLOGÍA / PATOLOGÍA;0;1;1
030100;ANATOMO PATOLOGÍA / PATOLOGÍA-BIOPSIAS (Anatomo patología)-;0;1;1
030200;ANATOMO PATOLOGÍA / PATOLOGÍA-CITOGENÉTICA-;0;1;1
030300;ANATOMO PATOLOGÍA / PATOLOGÍA-CITOLOGÍA-;0;1;1
030400;ANATOMO PATOLOGÍA / PATOLOGÍA-CITOMETRÍA DE FLUJO-;0;1;1
030500;ANATOMO PATOLOGÍA / PATOLOGÍA-INMUNOHISTOQUÍMICA-;0;1;1
030600;ANATOMO PATOLOGÍA / PATOLOGÍA-NECROPSIAS-;0;1;1
040000;CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA;0;1;1
040100;CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA- CIRUGÍA ALTAMENTE ESPECIALIZADA Y DE ALTA COMPLEJIDAD;0;1;1
040101;"CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-CIRUGÍA ""A"" -""A1"" - CIRUGÍA ALTAMENTE ESPECIALIZADA";0;1;1
040102;"CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-CIRUGÍA ""A"" -""A 2"" - CIRUGÍA DE ALTA COMPLEJIDAD";0;1;1
040200;"CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-CIRUGÍA ""B"" (MEDIANA COMPLEJIDAD)-";0;1;1
040300;"CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-CIRUGÍA ""C"" (BAJA COMPLEJIDAD)-";0;1;1
040400;CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-CIRUGÍA MENOR DE ALTO REQUERIMIENTO / CIRUGIA AMBULATORIA DE DIA;0;1;1
040500;CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-CIRUGÍA MENOR (TÓPICO)-;0;1;1
040600;CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-UNIDAD DEL DOLOR-;0;1;1
040700;CENTRO QUIRÚRGICO Y ANESTESIOLOGÍA-UNIDAD DE RECUPERACIÓN Y REANIMACIÓN-;0;1;1
050000;BANCO DE ÓRGANOS;0;1;1
050100;BANCO DE ÓRGANOS-CÉLULAS MADRE DE CORDÓN UMBILICAL-;0;1;1
050200;BANCO DE ÓRGANOS-CRÍO PRESERVACIÓN-;0;1;1
050300;BANCO DE ÓRGANOS-HISTOCOMPATIBILIDAD-;0;1;1
050400;BANCO DE ÓRGANOS-TEJIDOS (piel, córneas, otros)-;0;1;1
050500;BANCO DE ÓRGANOS-TRANSPLANTES-;0;1;1
060000;BIOLOGÍA MOLECULAR Y GENÉTICA ;0;1;1
060100;BIOLOGÍA MOLECULAR Y GENÉTICA -BIOLOGÍA MOLECULAR -;0;1;1
060200;BIOLOGÍA MOLECULAR Y GENÉTICA -GENÉTICA -;0;1;1
070000;CENTRO OBSTÉTRICO;0;1;1
080000;DIAGNÓSTICO POR IMÁGENES ;0;1;1
080100;DIAGNÓSTICO POR IMÁGENES -DENSITOMETRÍA ÓSEA-;0;1;1
080200;DIAGNÓSTICO POR IMÁGENES -ECO CARDIOGRAFÍA-;0;1;1
080300;DIAGNÓSTICO POR IMÁGENES -MAMOGRAFÍA-;0;1;1
080400;DIAGNÓSTICO POR IMÁGENES -RADIODIAGNÓSTICO / RAYOS X-;0;1;1
080401;DIAGNOSTICO POR IMÁGENES RADIODIAGNOSTICO RAYOS X NEURORADIOLOGIA;0;1;1
080500;DIAGNÓSTICO POR IMÁGENES -RADIOLOGÍA INTERVENCIONISTA;0;1;1
080501;DIAGNÓSTICO POR IMÁGENES -RADIOLOGÍA INTERVENCIONISTA-DIAGNÓSTICA;0;1;1
080502;DIAGNÓSTICO POR IMÁGENES -RADIOLOGÍA INTERVENCIONISTA-TERAPÉUTICA;0;1;1
080503;DIAGNÓSTICO POR IMÁGENES -RADIOLOGÍA INTERVENCIONISTA-ANGIOGRAFÍAS;0;1;1
080600;DIAGNÓSTICO POR IMÁGENES -RESONANCIA MAGNÉTICA;0;1;1
080601;DIAGNÓSTICO POR IMÁGENES -RESONANCIA MAGNÉTICA-DETECCIÓN;0;1;1
080602;DIAGNÓSTICO POR IMÁGENES -RESONANCIA MAGNÉTICA-PROCEDIMIENTOS;0;1;1
080700;DIAGNÓSTICO POR IMÁGENES -RADIOLOGÍA NUCLEAR-;0;1;1
080800;DIAGNÓSTICO POR IMÁGENES -TOMOGRAFÍA COMPUTARIZADA-;0;1;1
080900;DIAGNÓSTICO POR IMÁGENES -ULTRASONIDO/ ECOGRAFÍA-;0;1;1
090000;DIÁLISIS;0;1;1
090100;DIÁLISIS-DIÁLISIS PERITONEAL-;0;1;1
090200;DIÁLISIS-HEMODIÁLISIS-;0;1;1
100000;ENDOSCOPIAS;0;1;1
100100;ENDOSCOPIAS-DIAGNÓSTICAS DIGESTIVAS-;0;1;1
100200;ENDOSCOPIAS-DIAGNÓSTICAS GINECOLÓGICAS -;0;1;1
100300;ENDOSCOPIAS-DIAGNÓSTICAS RESPIRATORIA / BRONCOSCOPIAS-;0;1;1
100400;ENDOSCOPIAS-DIAGNÓSTICAS REUMATO - TRAUMATOLÓGICAS-;0;1;1
100500;ENDOSCOPIAS-DIAGNÓSTICAS UROLÓGICAS-;0;1;1
100600;ENDOSCOPIAS-LAPAROSCOPIAS-;0;1;1
100700;ENDOSCOPIAS-OTRAS ENDOSCOPÍAS DIAGNÓSTICAS-;0;1;1
100800;ENDOSCOPIAS-TERAPEÚTICAS DIGESTIVAS-;0;1;1
100900;ENDOSCOPIAS-TERAPEÚTICAS GINECOLÓGICAS-;0;1;1
